year,estratopri,aoj21,colseg,ur,q1,q2,m1,trust,pr5,ideologia
2021.0,Oriental,Delincuentes comunes,Peor,,,32.0,Negativa,,,
2021.0,Oriental,,,,,32.0,,,,
2021.0,Oriental,,,,,46.0,,,,
2021.0,Atlántica,Ninguno,Peor,,,38.0,Positiva,,,
2021.0,Central,Crimen organizado,Peor,,,47.0,Negativa,,,Derecha
2021.0,Central,Guerrillas,Igual,,,41.0,Positiva,,,
2021.0,Pacífica,Crimen organizado,Peor,,,31.0,Negativa,,,Centro
2021.0,Atlántica,,,,,62.0,,,,
2021.0,Atlántica,,,,,44.0,,,,
2021.0,Bogotá,Delincuentes comunes,Igual,,,37.0,Neutra,,,Centro izquierda
2021.0,Central,,,,,43.0,,,,
2021.0,Bogotá,Delincuentes comunes,Peor,,,56.0,Positiva,,,Derecha
2021.0,Bogotá,,,,,27.0,,,,
2021.0,Central,Delincuentes comunes,Peor,,,36.0,Positiva,,,Derecha
2021.0,Bogotá,Crimen organizado,Peor,,,28.0,Negativa,,,Centro izquierda
2021.0,Oriental,,,,,63.0,,,,
2021.0,Atlántica,,,,,35.0,,,,
2021.0,Oriental,,,,,46.0,,,,
2021.0,Central,,,,,35.0,,,,
2021.0,Atlántica,Delincuentes comunes,Peor,,,28.0,Negativa,,,
2021.0,Oriental,Guerrillas,Igual,,,39.0,Positiva,,,
2021.0,Bogotá,Crimen organizado,Peor,,,28.0,Negativa,,,Izquierda
2021.0,Amazonia,,,,,34.0,,,,
2021.0,Oriental,,,,,49.0,,,,
2021.0,Oriental,,,,,51.0,,,,
2021.0,Bogotá,,,,,60.0,,,,
2021.0,Atlántica,Crimen organizado,Peor,,,70.0,Negativa,,,Izquierda
2021.0,Oriental,Crimen organizado,Peor,,,29.0,Positiva,,,
2021.0,Central,Crimen organizado,Peor,,,55.0,Negativa,,,Centro izquierda
2021.0,Bogotá,,,,,24.0,,,,
2021.0,Oriental,,,,,26.0,,,,
2021.0,Central,Crimen organizado,Peor,,,52.0,Positiva,,,Izquierda
2021.0,Oriental,,,,,37.0,,,,
2021.0,Bogotá,,,,,45.0,,,,
2021.0,Oriental,,,,,43.0,,,,
2021.0,Central,,,,,47.0,,,,
2021.0,Oriental,,,,,50.0,,,,
2021.0,Pacífica,Delincuentes comunes,Peor,,,41.0,Negativa,,,Izquierda
2021.0,Amazonia,,,,,34.0,,,,
2021.0,Atlántica,,,,,28.0,,,,
2021.0,Bogotá,Crimen organizado,Peor,,,36.0,Negativa,,,Centro izquierda
2021.0,Pacífica,,,,,65.0,,,,
2021.0,Bogotá,Crimen organizado,Peor,,,28.0,Negativa,,,Izquierda
2021.0,Atlántica,Crimen organizado,Peor,,,45.0,Positiva,,,Derecha
2021.0,Oriental,,,,,72.0,,,,
2021.0,Atlántica,,,,,36.0,,,,
2021.0,Pacífica,Delincuentes comunes,Peor,,,42.0,Negativa,,,Derecha
2021.0,Atlántica,,,,,54.0,,,,
2021.0,Atlántica,,,,,74.0,,,,
2021.0,Central,Crimen organizado,Peor,,,30.0,Negativa,,,Izquierda
2021.0,Oriental,Delincuentes comunes,Peor,,,65.0,Neutra,,,Derecha
2021.0,Oriental,,,,,21.0,,,,
2021.0,Central,Delincuentes comunes,Igual,,,27.0,Neutra,,,Derecha
2021.0,Central,Crimen organizado,Peor,,,51.0,Neutra,,,Centro
2021.0,Oriental,Delincuentes comunes,Peor,,,51.0,Neutra,,,Izquierda
2021.0,Oriental,Delincuentes comunes,Peor,,,37.0,Positiva,,,
2021.0,Bogotá,Crimen organizado,Peor,,,22.0,Negativa,,,Centro
2021.0,Oriental,Crimen organizado,Peor,,,49.0,Negativa,,,Izquierda
2021.0,Oriental,Crimen organizado,Peor,,,22.0,Negativa,,,Centro
2021.0,Atlántica,,,,,41.0,,,,
2021.0,Atlántica,,,,,19.0,,,,
2021.0,Pacífica,Guerrillas,Peor,,,45.0,Positiva,,,
2021.0,Atlántica,,,,,35.0,,,,
2021.0,Bogotá,,,,,41.0,,,,
2021.0,Bogotá,Delincuentes comunes,Igual,,,35.0,Negativa,,,Centro
2021.0,Oriental,Delincuentes comunes,Peor,,,49.0,Positiva,,,Centro derecha
2021.0,Atlántica,Guerrillas,Peor,,,76.0,Positiva,,,Centro derecha
2021.0,Central,,,,,50.0,,,,
2021.0,Pacífica,,,,,24.0,,,,
2021.0,Bogotá,Crimen organizado,Peor,,,22.0,Negativa,,,Izquierda
2021.0,Oriental,,,,,42.0,,,,
2021.0,Pacífica,Delincuentes comunes,Igual,,,38.0,Neutra,,,Derecha
2021.0,Bogotá,,,,,36.0,,,,
2021.0,Atlántica,,,,,42.0,,,,
2021.0,Atlántica,,,,,67.0,,,,
